Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
STR,0 days 00:02:17.598000,0 days 00:00:33.937000,0 days 00:00:57.092000,0 days 00:00:46.569000,INTERMEDIATE,6.0,,
STR,,0 days 00:00:43.543000,0 days 00:01:16.560000,0 days 00:00:49.030000,INTERMEDIATE,7.0,,
STR,,0 days 00:00:50.622000,0 days 00:01:19.372000,0 days 00:00:57.633000,INTERMEDIATE,8.0,,
STR,0 days 00:02:03.356000,0 days 00:00:34.573000,0 days 00:00:56.583000,0 days 00:00:32.200000,INTERMEDIATE,9.0,,
STR,0 days 00:02:04.383000,0 days 00:00:34.069000,0 days 00:00:57.595000,0 days 00:00:32.719000,INTERMEDIATE,10.0,,
STR,0 days 00:02:04.042000,0 days 00:00:33.983000,0 days 00:00:57.313000,0 days 00:00:32.746000,INTERMEDIATE,11.0,,
STR,0 days 00:02:03.939000,0 days 00:00:33.785000,0 days 00:00:57.536000,0 days 00:00:32.618000,INTERMEDIATE,12.0,,
STR,0 days 00:02:04.437000,0 days 00:00:33.883000,0 days 00:00:57.822000,0 days 00:00:32.732000,INTERMEDIATE,13.0,,
STR,0 days 00:02:04.362000,0 days 00:00:33.818000,0 days 00:00:57.694000,0 days 00:00:32.850000,INTERMEDIATE,14.0,,
SAR,,,0 days 00:01:00.966000,0 days 00:00:37.999000,WET,1.0,,0 days 01:33:10.531000
SAR,0 days 00:02:20.889000,0 days 00:00:49.959000,0 days 00:00:58.599000,0 days 00:00:32.331000,INTERMEDIATE,4.0,0 days 01:33:35.500000,
SAR,0 days 00:02:21.795000,0 days 00:00:34.050000,0 days 00:00:58.465000,0 days 00:00:49.280000,INTERMEDIATE,5.0,,
SAR,,0 days 00:00:44.061000,0 days 00:01:15.826000,0 days 00:00:49.199000,INTERMEDIATE,6.0,,
SAR,,0 days 00:00:48.183000,0 days 00:01:18.877000,0 days 00:00:55.970000,INTERMEDIATE,7.0,,
SAR,0 days 00:02:03.482000,0 days 00:00:33.523000,0 days 00:00:57.575000,0 days 00:00:32.384000,INTERMEDIATE,8.0,,
SAR,0 days 00:02:04.814000,0 days 00:00:33.123000,0 days 00:00:58.908000,0 days 00:00:32.783000,INTERMEDIATE,9.0,,
SAR,0 days 00:02:04.709000,0 days 00:00:33.173000,0 days 00:00:58.927000,0 days 00:00:32.609000,INTERMEDIATE,10.0,,
SAR,0 days 00:02:04.756000,0 days 00:00:33.199000,0 days 00:00:58.957000,0 days 00:00:32.600000,INTERMEDIATE,11.0,,
SAR,0 days 00:02:05.133000,0 days 00:00:33.224000,0 days 00:00:59.311000,0 days 00:00:32.598000,INTERMEDIATE,12.0,,
SAR,0 days 00:02:05.715000,0 days 00:00:33.275000,0 days 00:00:59.777000,0 days 00:00:32.663000,INTERMEDIATE,13.0,,
MAG,,,0 days 00:01:01.413000,0 days 00:00:38.410000,WET,1.0,,0 days 01:33:14.438000
MAG,0 days 00:02:19.657000,0 days 00:00:48.813000,0 days 00:00:58.403000,0 days 00:00:32.441000,INTERMEDIATE,4.0,0 days 01:33:38.969000,
MAG,0 days 00:02:23.512000,0 days 00:00:33.960000,0 days 00:01:00.739000,0 days 00:00:48.813000,INTERMEDIATE,5.0,,
MAG,,0 days 00:00:42.646000,0 days 00:01:16.818000,0 days 00:00:48.380000,INTERMEDIATE,6.0,,
