driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:29.878000,0 days 00:01:29.964000,0 days 00:01:28.877000
PIA,McLaren,2.0,0 days 00:01:30.439000,0 days 00:01:30.122000,0 days 00:01:29.458000
NOR,McLaren,3.0,0 days 00:01:30.063000,0 days 00:01:30.296000,0 days 00:01:29.493000
LEC,Ferrari,4.0,0 days 00:01:30.393000,0 days 00:01:29.940000,0 days 00:01:29.542000
PER,Red Bull Racing,5.0,0 days 00:01:30.652000,0 days 00:01:29.965000,0 days 00:01:29.650000
SAI,Ferrari,6.0,0 days 00:01:30.651000,0 days 00:01:30.067000,0 days 00:01:29.850000
HAM,Mercedes,7.0,0 days 00:01:30.811000,0 days 00:01:30.040000,0 days 00:01:29.908000
RUS,Mercedes,8.0,0 days 00:01:30.811000,0 days 00:01:30.268000,0 days 00:01:30.219000
TSU,AlphaTauri,9.0,0 days 00:01:30.733000,0 days 00:01:30.204000,0 days 00:01:30.303000
ALO,Aston Martin,10.0,0 days 00:01:30.971000,0 days 00:01:30.465000,0 days 00:01:30.560000
LAW,AlphaTauri,11.0,0 days 00:01:30.425000,0 days 00:01:30.508000,
GAS,Alpine,12.0,0 days 00:01:30.843000,0 days 00:01:30.509000,
ALB,Williams,13.0,0 days 00:01:30.941000,0 days 00:01:30.537000,
OCO,Alpine,14.0,0 days 00:01:30.960000,0 days 00:01:30.586000,
MAG,Haas F1 Team,15.0,0 days 00:01:30.976000,0 days 00:01:30.665000,
BOT,Alfa Romeo,16.0,0 days 00:01:31.049000,,
STR,Aston Martin,17.0,0 days 00:01:31.181000,,
HUL,Haas F1 Team,18.0,0 days 00:01:31.299000,,
ZHO,Alfa Romeo,19.0,0 days 00:01:31.398000,,
SAR,Williams,20.0,,,
