Driver,LapNumber,PitInTime,PitOutTime,PitLaneTime,PitStopDurationSeconds
SAR,22.0,0 days 01:45:32.408000,0 days 01:43:50.457000,-1 days +23:58:18.049000,-101.951
PER,13.0,0 days 01:30:49.377000,0 days 01:28:02.755000,-1 days +23:57:13.378000,-166.622
PER,14.0,0 days 02:13:58.191000,0 days 02:12:15.286000,-1 days +23:58:17.095000,-102.905
PER,15.0,0 days 02:16:10.704000,0 days 02:14:28.784000,-1 days +23:58:18.080000,-101.92
BOT,7.0,0 days 01:20:06.436000,0 days 01:18:21.484000,-1 days +23:58:15.048000,-104.952
