driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:17.384000,0 days 00:01:17.056000,0 days 00:01:16.732000
RUS,Mercedes,2.0,0 days 00:01:17.654000,0 days 00:01:17.513000,0 days 00:01:16.968000
HAM,Mercedes,3.0,0 days 00:01:17.689000,0 days 00:01:17.551000,0 days 00:01:17.104000
ALO,Aston Martin,4.0,0 days 00:01:17.832000,0 days 00:01:17.283000,0 days 00:01:17.139000
SAI,Ferrari,5.0,0 days 00:01:17.928000,0 days 00:01:17.349000,0 days 00:01:17.270000
STR,Aston Martin,6.0,0 days 00:01:17.873000,0 days 00:01:17.616000,0 days 00:01:17.308000
LEC,Ferrari,7.0,0 days 00:01:18.218000,0 days 00:01:17.390000,0 days 00:01:17.369000
ALB,Williams,8.0,0 days 00:01:17.962000,0 days 00:01:17.761000,0 days 00:01:17.609000
GAS,Alpine,9.0,0 days 00:01:18.312000,0 days 00:01:17.574000,0 days 00:01:17.675000
HUL,Haas F1 Team,10.0,0 days 00:01:18.029000,0 days 00:01:17.412000,0 days 00:01:17.735000
OCO,Alpine,11.0,0 days 00:01:17.770000,0 days 00:01:17.768000,
TSU,AlphaTauri,12.0,0 days 00:01:18.471000,0 days 00:01:18.099000,
NOR,McLaren,13.0,0 days 00:01:18.243000,0 days 00:01:18.119000,
MAG,Haas F1 Team,14.0,0 days 00:01:18.159000,0 days 00:01:18.129000,
DEV,AlphaTauri,15.0,0 days 00:01:18.450000,0 days 00:01:18.335000,
PIA,McLaren,16.0,0 days 00:01:18.517000,,
ZHO,Alfa Romeo,17.0,0 days 00:01:18.540000,,
SAR,Williams,18.0,0 days 00:01:18.557000,,
BOT,Alfa Romeo,19.0,0 days 00:01:18.714000,,
PER,Red Bull Racing,20.0,,,
