driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
PER,Red Bull Racing,2.0,1.0,8.0,Finished,,
LEC,Ferrari,1.0,2.0,7.0,Finished,,
VER,Red Bull Racing,3.0,3.0,6.0,Finished,,
RUS,Mercedes,4.0,4.0,5.0,Finished,,
SAI,Ferrari,5.0,5.0,4.0,Finished,,
ALO,Aston Martin,8.0,6.0,3.0,Finished,,
HAM,Mercedes,6.0,7.0,2.0,Finished,,
STR,Aston Martin,9.0,8.0,1.0,Finished,,
ALB,Williams,7.0,9.0,0.0,Finished,,
PIA,McLaren,11.0,10.0,0.0,Finished,,
MAG,Haas F1 Team,13.0,11.0,0.0,Finished,,
ZHO,Alfa Romeo,14.0,12.0,0.0,Finished,,
GAS,Alpine,17.0,13.0,0.0,Finished,,
DEV,AlphaTauri,18.0,14.0,0.0,Finished,,
HUL,Haas F1 Team,12.0,15.0,0.0,Finished,,
BOT,Alfa Romeo,15.0,16.0,0.0,Finished,,
NOR,McLaren,10.0,17.0,0.0,Finished,,
OCO,Alpine,0.0,18.0,0.0,Finished,,
TSU,AlphaTauri,16.0,19.0,0.0,Collision damage,,
SAR,Williams,,,0.0,Accident,,
