driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,25.0,Finished,,
ALO,Aston Martin,5.0,2.0,19.0,Finished,,
GAS,Alpine,12.0,3.0,15.0,Finished,,
PER,Red Bull Racing,7.0,4.0,12.0,Finished,,
SAI,Ferrari,6.0,5.0,10.0,Finished,,
HAM,Mercedes,13.0,6.0,8.0,Finished,,
NOR,McLaren,2.0,7.0,6.0,Finished,,
ALB,Williams,4.0,8.0,4.0,Finished,,
PIA,McLaren,8.0,9.0,2.0,Finished,,
OCO,Alpine,16.0,10.0,1.0,Finished,,
STR,Aston Martin,11.0,11.0,0.0,Finished,,
HUL,Haas F1 Team,14.0,12.0,0.0,Finished,,
LAW,AlphaTauri,19.0,13.0,0.0,Finished,,
BOT,Alfa Romeo,18.0,14.0,0.0,Finished,,
TSU,AlphaTauri,17.0,15.0,0.0,Finished,,
MAG,Haas F1 Team,0.0,16.0,0.0,Finished,,
RUS,Mercedes,3.0,17.0,0.0,Finished,,
ZHO,Alfa Romeo,15.0,18.0,0.0,Accident,,
LEC,Ferrari,9.0,19.0,0.0,Undertray,,
SAR,Williams,10.0,20.0,0.0,Accident,,
