driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,26.0,Finished,,
LEC,Ferrari,2.0,2.0,18.0,Finished,,
PER,Red Bull Racing,15.0,3.0,15.0,Finished,,
NOR,McLaren,4.0,4.0,12.0,Finished,,
ALO,Aston Martin,7.0,5.0,10.0,Finished,,
SAI,Ferrari,3.0,6.0,8.0,Finished,,
RUS,Mercedes,11.0,7.0,6.0,Finished,,
HAM,Mercedes,5.0,8.0,4.0,Finished,,
STR,Aston Martin,6.0,9.0,2.0,Finished,,
GAS,Alpine,9.0,10.0,1.0,Finished,,
ALB,Williams,10.0,11.0,0.0,Finished,,
ZHO,Alfa Romeo,17.0,12.0,0.0,Lapped,,
SAR,Williams,18.0,13.0,0.0,Lapped,,
OCO,Alpine,12.0,14.0,0.0,Lapped,,
BOT,Alfa Romeo,14.0,15.0,0.0,Lapped,,
PIA,McLaren,13.0,16.0,0.0,Lapped,,
DEV,AlphaTauri,20.0,17.0,0.0,Lapped,,
MAG,Haas F1 Team,19.0,18.0,0.0,Lapped,,
TSU,AlphaTauri,16.0,19.0,0.0,Lapped,,
HUL,Haas F1 Team,8.0,20.0,0.0,Retired,,
