Driver,LapNumber,PitInTime,PitOutTime,PitLaneTime,PitStopDurationSeconds
MAG,1.0,0 days 01:03:15.390000,0 days 01:01:57.672000,-1 days +23:58:42.282000,-77.718
MAG,2.0,0 days 01:05:30.825000,0 days 01:03:41.983000,-1 days +23:58:11.158000,-108.842
TSU,2.0,0 days 01:05:32.981000,0 days 01:04:00.186000,-1 days +23:58:27.205000,-92.795
