Driver,LapNumber,PitInTime,PitOutTime,PitLaneTime,PitStopDurationSeconds
GAS,1.0,0 days 01:05:24.564000,0 days 01:02:46.728000,-1 days +23:57:22.164000,-157.836
GAS,2.0,0 days 01:08:22.943000,0 days 01:06:05.782000,-1 days +23:57:42.839000,-137.161
