Driver,LapNumber,PitInTime,PitOutTime,PitLaneTime,PitStopDurationSeconds
VER,57.0,0 days 02:17:22.508000,0 days 02:15:07.641000,-1 days +23:57:45.133000,-134.867
GAS,57.0,0 days 02:18:20.696000,0 days 02:16:55.887000,-1 days +23:58:35.191000,-84.809
PER,57.0,0 days 02:17:37.064000,0 days 02:15:48.505000,-1 days +23:58:11.441000,-108.559
LEC,57.0,0 days 02:17:32.417000,0 days 02:15:43.986000,-1 days +23:58:11.569000,-108.431
STR,57.0,0 days 02:18:12.004000,0 days 02:16:31.842000,-1 days +23:58:19.838000,-100.162
TSU,43.0,0 days 02:00:23.007000,0 days 01:57:14.028000,-1 days +23:56:51.021000,-188.979
ALB,56.0,0 days 02:17:24.161000,0 days 02:15:35.154000,-1 days +23:58:10.993000,-109.007
ZHO,56.0,0 days 02:17:41.096000,0 days 02:15:54.894000,-1 days +23:58:13.798000,-106.202
RIC,56.0,0 days 02:18:00.776000,0 days 02:16:12.485000,-1 days +23:58:11.709000,-108.291
OCO,57.0,0 days 02:18:10.643000,0 days 02:16:28.619000,-1 days +23:58:17.976000,-102.024
LAT,55.0,0 days 02:17:20.486000,0 days 02:15:04.893000,-1 days +23:57:44.407000,-135.593
