Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
HAM,0 days 00:02:15.925000,0 days 00:00:48.636000,0 days 00:00:45.710000,0 days 00:00:41.579000,MEDIUM,21.0,,
HAM,0 days 00:01:31.021000,0 days 00:00:34.291000,0 days 00:00:30.635000,0 days 00:00:26.095000,MEDIUM,22.0,,
HAM,0 days 00:01:28.731000,0 days 00:00:32.959000,0 days 00:00:29.658000,0 days 00:00:26.114000,MEDIUM,23.0,,
HAM,0 days 00:01:29.168000,0 days 00:00:32.844000,0 days 00:00:30.094000,0 days 00:00:26.230000,MEDIUM,24.0,,
HAM,0 days 00:01:29.239000,0 days 00:00:32.844000,0 days 00:00:30.636000,0 days 00:00:25.759000,MEDIUM,25.0,,
HAM,0 days 00:01:27.968000,0 days 00:00:32.621000,0 days 00:00:29.502000,0 days 00:00:25.845000,MEDIUM,26.0,,
SAI,,,0 days 00:00:30.255000,0 days 00:00:40.711000,SOFT,1.0,,
SAI,0 days 00:02:26.058000,0 days 00:00:49.276000,0 days 00:00:46.589000,0 days 00:00:50.193000,SOFT,2.0,,
SAI,0 days 00:01:38.149000,0 days 00:00:32.961000,0 days 00:00:30.097000,0 days 00:00:35.091000,SOFT,3.0,,
SAI,0 days 00:02:18.801000,0 days 00:00:48.026000,0 days 00:00:47.932000,0 days 00:00:42.843000,SOFT,4.0,,
SAI,0 days 00:02:21.450000,0 days 00:00:50.074000,0 days 00:00:48.408000,0 days 00:00:42.968000,SOFT,5.0,,
SAI,0 days 00:02:23.086000,0 days 00:00:50.356000,0 days 00:00:46.902000,0 days 00:00:45.828000,SOFT,6.0,,
SAI,0 days 00:01:28.644000,0 days 00:00:33.137000,0 days 00:00:29.707000,0 days 00:00:25.800000,SOFT,7.0,,
SAI,0 days 00:01:28.742000,0 days 00:00:32.687000,0 days 00:00:29.782000,0 days 00:00:26.273000,SOFT,8.0,,
SAI,0 days 00:01:29.952000,0 days 00:00:33.132000,0 days 00:00:30.330000,0 days 00:00:26.490000,SOFT,9.0,,
