driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
SAI,Ferrari,1.0,0 days 00:01:21.965000,0 days 00:01:20.991000,0 days 00:01:20.294000
VER,Red Bull Racing,2.0,0 days 00:01:21.573000,0 days 00:01:20.937000,0 days 00:01:20.307000
LEC,Ferrari,3.0,0 days 00:01:21.788000,0 days 00:01:20.977000,0 days 00:01:20.361000
RUS,Mercedes,4.0,0 days 00:01:22.148000,0 days 00:01:21.382000,0 days 00:01:20.671000
PER,Red Bull Racing,5.0,0 days 00:01:21.911000,0 days 00:01:21.240000,0 days 00:01:20.688000
ALB,Williams,6.0,0 days 00:01:21.661000,0 days 00:01:21.272000,0 days 00:01:20.760000
PIA,McLaren,7.0,0 days 00:01:22.106000,0 days 00:01:21.527000,0 days 00:01:20.785000
HAM,Mercedes,8.0,0 days 00:01:21.977000,0 days 00:01:21.369000,0 days 00:01:20.820000
NOR,McLaren,9.0,0 days 00:01:21.995000,0 days 00:01:21.581000,0 days 00:01:20.979000
ALO,Aston Martin,10.0,0 days 00:01:22.043000,0 days 00:01:21.543000,0 days 00:01:21.417000
TSU,AlphaTauri,11.0,0 days 00:01:21.852000,0 days 00:01:21.594000,
LAW,AlphaTauri,12.0,0 days 00:01:22.112000,0 days 00:01:21.758000,
HUL,Haas F1 Team,13.0,0 days 00:01:22.343000,0 days 00:01:21.776000,
BOT,Alfa Romeo,14.0,0 days 00:01:22.249000,0 days 00:01:21.940000,
SAR,Williams,15.0,0 days 00:01:21.930000,0 days 00:01:21.944000,
ZHO,Alfa Romeo,16.0,0 days 00:01:22.390000,,
GAS,Alpine,17.0,0 days 00:01:22.545000,,
OCO,Alpine,18.0,0 days 00:01:22.548000,,
MAG,Haas F1 Team,19.0,0 days 00:01:22.592000,,
STR,Aston Martin,20.0,0 days 00:01:22.860000,,
