driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
SAI,Ferrari,1.0,1.0,25.0,Finished,,
NOR,McLaren,4.0,2.0,18.0,Finished,,
HAM,Mercedes,5.0,3.0,16.0,Finished,,
LEC,Ferrari,3.0,4.0,12.0,Finished,,
VER,Red Bull Racing,11.0,5.0,10.0,Finished,,
GAS,Alpine,12.0,6.0,8.0,Finished,,
PIA,McLaren,17.0,7.0,6.0,Finished,,
PER,Red Bull Racing,13.0,8.0,4.0,Finished,,
LAW,AlphaTauri,10.0,9.0,2.0,Finished,,
MAG,Haas F1 Team,6.0,10.0,1.0,Finished,,
ALB,Williams,14.0,11.0,0.0,Finished,,
ZHO,Alfa Romeo,19.0,12.0,0.0,Finished,,
HUL,Haas F1 Team,9.0,13.0,0.0,Finished,,
SAR,Williams,18.0,14.0,0.0,Finished,,
ALO,Aston Martin,7.0,15.0,0.0,Finished,,
RUS,Mercedes,2.0,16.0,0.0,Finished,,
BOT,Alfa Romeo,16.0,17.0,0.0,Retired,,
OCO,Alpine,8.0,18.0,0.0,Retired,,
TSU,AlphaTauri,15.0,19.0,0.0,Retired,,
STR,Aston Martin,,,0.0,Withdrew,,
