driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
SAI,Ferrari,1.0,0 days 00:01:32.339000,0 days 00:01:31.439000,0 days 00:01:30.984000
RUS,Mercedes,2.0,0 days 00:01:32.331000,0 days 00:01:31.743000,0 days 00:01:31.056000
LEC,Ferrari,3.0,0 days 00:01:32.406000,0 days 00:01:32.012000,0 days 00:01:31.063000
NOR,McLaren,4.0,0 days 00:01:32.483000,0 days 00:01:31.951000,0 days 00:01:31.270000
HAM,Mercedes,5.0,0 days 00:01:32.651000,0 days 00:01:32.019000,0 days 00:01:31.485000
MAG,Haas F1 Team,6.0,0 days 00:01:32.242000,0 days 00:01:31.892000,0 days 00:01:31.575000
ALO,Aston Martin,7.0,0 days 00:01:32.584000,0 days 00:01:31.835000,0 days 00:01:31.615000
OCO,Alpine,8.0,0 days 00:01:32.369000,0 days 00:01:32.089000,0 days 00:01:31.673000
HUL,Haas F1 Team,9.0,0 days 00:01:32.100000,0 days 00:01:31.994000,0 days 00:01:31.808000
LAW,AlphaTauri,10.0,0 days 00:01:32.215000,0 days 00:01:32.166000,0 days 00:01:32.268000
VER,Red Bull Racing,11.0,0 days 00:01:32.398000,0 days 00:01:32.173000,
GAS,Alpine,12.0,0 days 00:01:32.452000,0 days 00:01:32.274000,
PER,Red Bull Racing,13.0,0 days 00:01:32.099000,0 days 00:01:32.310000,
ALB,Williams,14.0,0 days 00:01:32.668000,0 days 00:01:33.719000,
TSU,AlphaTauri,15.0,0 days 00:01:31.991000,,
BOT,Alfa Romeo,16.0,0 days 00:01:32.809000,,
PIA,McLaren,17.0,0 days 00:01:32.902000,,
SAR,Williams,18.0,0 days 00:01:33.252000,,
ZHO,Alfa Romeo,19.0,0 days 00:01:33.258000,,
STR,Aston Martin,20.0,0 days 00:01:33.397000,,
