driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,2.0,1.0,26.0,Finished,,
NOR,McLaren,3.0,2.0,18.0,Finished,,
PER,Red Bull Racing,9.0,3.0,15.0,Finished,,
HAM,Mercedes,1.0,4.0,12.0,Finished,,
PIA,McLaren,4.0,5.0,10.0,Finished,,
RUS,Mercedes,18.0,6.0,8.0,Finished,,
LEC,Ferrari,6.0,7.0,6.0,Finished,,
SAI,Ferrari,11.0,8.0,4.0,Finished,,
ALO,Aston Martin,8.0,9.0,2.0,Finished,,
STR,Aston Martin,14.0,10.0,1.0,Lapped,,
ALB,Williams,16.0,11.0,0.0,Lapped,,
BOT,Alfa Romeo,7.0,12.0,0.0,Lapped,,
RIC,AlphaTauri,13.0,13.0,0.0,Lapped,,
HUL,Haas F1 Team,10.0,14.0,0.0,Lapped,,
TSU,AlphaTauri,17.0,15.0,0.0,Lapped,,
ZHO,Alfa Romeo,5.0,16.0,0.0,Lapped,,
MAG,Haas F1 Team,19.0,17.0,0.0,Lapped,,
SAR,Williams,20.0,18.0,0.0,Finished,,
OCO,Alpine,12.0,19.0,0.0,Retired,,
GAS,Alpine,15.0,20.0,0.0,Retired,,
