driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
HAM,Mercedes,1.0,0 days 00:01:18.577000,0 days 00:01:17.427000,0 days 00:01:16.609000
VER,Red Bull Racing,2.0,0 days 00:01:18.318000,0 days 00:01:17.547000,0 days 00:01:16.612000
NOR,McLaren,3.0,0 days 00:01:18.697000,0 days 00:01:17.328000,0 days 00:01:16.694000
PIA,McLaren,4.0,0 days 00:01:18.464000,0 days 00:01:17.571000,0 days 00:01:16.905000
ZHO,Alfa Romeo,5.0,0 days 00:01:18.143000,0 days 00:01:17.700000,0 days 00:01:16.971000
LEC,Ferrari,6.0,0 days 00:01:18.440000,0 days 00:01:17.580000,0 days 00:01:16.992000
BOT,Alfa Romeo,7.0,0 days 00:01:18.775000,0 days 00:01:17.563000,0 days 00:01:17.034000
ALO,Aston Martin,8.0,0 days 00:01:18.580000,0 days 00:01:17.701000,0 days 00:01:17.035000
PER,Red Bull Racing,9.0,0 days 00:01:18.360000,0 days 00:01:17.675000,0 days 00:01:17.045000
HUL,Haas F1 Team,10.0,0 days 00:01:18.695000,0 days 00:01:17.652000,0 days 00:01:17.186000
SAI,Ferrari,11.0,0 days 00:01:18.393000,0 days 00:01:17.703000,
OCO,Alpine,12.0,0 days 00:01:18.854000,0 days 00:01:17.841000,
RIC,AlphaTauri,13.0,0 days 00:01:18.906000,0 days 00:01:18.002000,
STR,Aston Martin,14.0,0 days 00:01:18.782000,0 days 00:01:18.144000,
GAS,Alpine,15.0,0 days 00:01:18.743000,0 days 00:01:18.217000,
ALB,Williams,16.0,0 days 00:01:18.917000,,
TSU,AlphaTauri,17.0,0 days 00:01:18.919000,,
RUS,Mercedes,18.0,0 days 00:01:19.027000,,
MAG,Haas F1 Team,19.0,0 days 00:01:19.206000,,
SAR,Williams,20.0,0 days 00:01:19.248000,,
