driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
LEC,Ferrari,1.0,1.0,26.0,Finished,,
PER,Red Bull Racing,3.0,2.0,18.0,Finished,,
RUS,Mercedes,6.0,3.0,15.0,Finished,,
HAM,Mercedes,5.0,4.0,12.0,Finished,,
NOR,McLaren,4.0,5.0,10.0,Finished,,
RIC,McLaren,7.0,6.0,8.0,Finished,,
OCO,Alpine,8.0,7.0,6.0,Finished,,
BOT,Alfa Romeo,12.0,8.0,4.0,Finished,,
GAS,AlphaTauri,11.0,9.0,2.0,Finished,,
ALB,Williams,20.0,10.0,1.0,Finished,,
ZHO,Alfa Romeo,14.0,11.0,0.0,Finished,,
STR,Aston Martin,19.0,12.0,0.0,Finished,,
MSC,Haas F1 Team,15.0,13.0,0.0,+1 Lap,,
MAG,Haas F1 Team,16.0,14.0,0.0,+1 Lap,,
TSU,AlphaTauri,13.0,15.0,0.0,+1 Lap,,
LAT,Williams,18.0,16.0,0.0,+1 Lap,,
ALO,Alpine,10.0,17.0,0.0,+1 Lap,,
VER,Red Bull Racing,2.0,18.0,0.0,Fuel leak,,
VET,Aston Martin,17.0,19.0,0.0,Accident,,
SAI,Ferrari,9.0,20.0,0.0,Spun off,,
