driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
PER,Red Bull Racing,1.0,1.0,25.0,Finished,,
VER,Red Bull Racing,15.0,2.0,19.0,Finished,,
ALO,Aston Martin,2.0,3.0,15.0,Finished,,
RUS,Mercedes,3.0,4.0,12.0,Finished,,
HAM,Mercedes,7.0,5.0,10.0,Finished,,
SAI,Ferrari,4.0,6.0,8.0,Finished,,
LEC,Ferrari,12.0,7.0,6.0,Finished,,
OCO,Alpine,6.0,8.0,4.0,Finished,,
GAS,Alpine,9.0,9.0,2.0,Finished,,
MAG,Haas F1 Team,13.0,10.0,1.0,Finished,,
TSU,AlphaTauri,16.0,11.0,0.0,Finished,,
HUL,Haas F1 Team,10.0,12.0,0.0,Finished,,
ZHO,Alfa Romeo,11.0,13.0,0.0,Finished,,
DEV,AlphaTauri,18.0,14.0,0.0,Finished,,
PIA,McLaren,8.0,15.0,0.0,Finished,,
SAR,Williams,20.0,16.0,0.0,Finished,,
NOR,McLaren,19.0,17.0,0.0,Finished,,
BOT,Alfa Romeo,14.0,18.0,0.0,Lapped,,
ALB,Williams,17.0,19.0,0.0,Retired,,
STR,Aston Martin,5.0,20.0,0.0,Retired,,
